"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
7408, 2.640965373200000e+00, 2.614767986800000e+00, 1.952637018300000e-01, 4.515986049170293e+00, 1.034006697691581e-01, 3.581106123197692e-01
14, 1.910690185800000e+00, 2.218728862900000e-01, 2.410584226400000e-03, 4.405600992960542e+00, -1.173694426503431e-01, 3.487141817276465e-01
15, 1.924672429700000e+00, 2.473938672200000e-01, 6.415779767200000e-03, 4.329762349143948e+00, -2.690467302835309e-01, 3.609522491616136e-01
16, 1.940220340100000e+00, 2.229930161900000e-01, 1.177415281900000e-02, 4.445774149401849e+00, -3.702312976772860e-02, 3.654648209776514e-01
1813, 1.896406795700000e+00, 2.511727365200000e-01, -2.528584051300000e-03, 4.303077796843890e+00, -3.224158348836462e-01, 3.506168396094312e-01
8087, 1.931625052400000e+00, 2.022998208700000e-01, 9.387281733499999e-03, 4.445140649923274e+00, -3.829012872487958e-02, 3.539377660846366e-01
6455, 1.884275261400000e+00, 2.176317721800000e-01, -5.816072931400000e-03, 4.346786737525303e+00, -2.349979535208213e-01, 3.523934050429573e-01
4053, 1.908562485600000e+00, 1.912961597900000e-01, 2.235683425600000e-03, 4.297478507244040e+00, -3.336144140833479e-01, 3.435790465885829e-01
3688, 1.954130433800000e+00, 2.479677048300000e-01, 1.578815915200000e-02, 4.432829750237832e+00, -6.291192809576351e-02, 3.677204956113406e-01
651, 1.917433302500000e+00, 2.751695798800000e-01, 3.690602576300000e-03, 4.278475934332768e+00, -3.716195599058914e-01, 3.698995305539885e-01
8264, 1.944001813300000e+00, 2.720343774500000e-01, 1.213797213900000e-02, 4.610455160007441e+00, 2.923388914434551e-01, 3.589551165115056e-01
3571, 1.959357158700000e+00, 2.004886120900000e-01, 1.833629104700000e-02, 4.548708335374491e+00, 1.688452421775555e-01, 3.493168858273450e-01
8351, 1.963942675100000e+00, 2.271836912400000e-01, 1.932173205100000e-02, 4.464224675101156e+00, -1.220783691149308e-04, 3.645852208883574e-01
17, 1.047319247900000e+00, 1.492513563400000e+00, 3.492965194800000e-02, 4.355570692467002e+00, -2.174300436374228e-01, 3.917592475432990e-01
18, 1.048935754500000e+00, 1.510157294200000e+00, 4.910242064900000e-02, 4.549346101092370e+00, 1.701207736133128e-01, 3.788204678251353e-01
19, 1.061050008600000e+00, 1.508921646200000e+00, 3.388962322500000e-02, 4.300594755408664e+00, -3.273819177540993e-01, 4.091189643955588e-01
1792, 1.036182686600000e+00, 1.496408452200000e+00, 5.251647264800000e-02, 4.486081364913733e+00, 4.359130125603983e-02, 3.551186229852928e-01
9338, 1.061461563600000e+00, 1.495613842200000e+00, 2.353776925500000e-02, 4.224985231625149e+00, -4.786009653211298e-01, 4.388614660655079e-01
6790, 1.034392370200000e+00, 1.483344708900000e+00, 4.169857019900000e-02, 4.581596309041463e+00, 2.346211895114987e-01, 3.374123882552578e-01
2588, 1.057630284600000e+00, 1.481205624000000e+00, 1.697920905700000e-02, 4.379395710692572e+00, -1.697800071862829e-01, 4.243689424754073e-01
2047, 1.037986496400000e+00, 1.472550514500000e+00, 2.849824281600000e-02, 4.274581105332653e+00, -3.794092179061206e-01, 4.168072209583956e-01
2246, 1.064374486400000e+00, 1.525680546200000e+00, 4.448029698600000e-02, 4.321856125629334e+00, -2.848591773127591e-01, 3.585019969590607e-01
